family,stress,level,seed,method,success_rate,distractor_rate,mean_progress,regret,ranking_margin,endpoint_error
B,leak,0.25,2725,causal_residual,1.0,0.0,0.9042588357137843,0.02582741415699429,0.1532954341826019,0.5616596587550982
B,leak,0.25,2725,total_flow,0.0,1.0,0.03634482639534439,0.8937414234754342,0.1532954341826019,0.027887370845465397
B,leak,0.25,2725,oracle_effect,1.0,0.0,0.9300862498707786,0.0,0.1532954341826019,0.5110427865372422
B,leak,0.5,2750,causal_residual,0.9921428571428571,0.0014285714285714286,0.8904813990460547,0.03990361392980498,0.15269242681611275,0.57652431382395
B,leak,0.5,2750,total_flow,0.0,1.0,0.03334239157928907,0.8970426213965708,0.15269242681611275,0.027843587705314178
B,leak,0.5,2750,oracle_effect,1.0,0.0,0.9303850129758598,0.0,0.15269242681611275,0.5119608260629166
B,leak,0.75,2775,causal_residual,0.6985714285714286,0.07142857142857142,0.6238888459721298,0.30614752765918535,0.15176351361809517,0.5904499834654411
B,leak,0.75,2775,total_flow,0.0,1.0,0.03368483967304672,0.8963515339582684,0.15176351361809517,0.02790946675446252
B,leak,0.75,2775,oracle_effect,1.0,0.0,0.9300363736313151,0.0,0.15176351361809517,0.5122336826628546
B,leak,1.0,2800,causal_residual,0.05928571428571429,0.2642857142857143,0.047889693842425606,0.8867805421564349,0.15682977506164614,0.6059862029722108
B,leak,1.0,2800,total_flow,0.0,1.0,0.03383690974078703,0.9008333262580734,0.15682977506164614,0.027993850450591995
B,leak,1.0,2800,oracle_effect,1.0,0.0,0.9346702359988605,0.0,0.15682977506164614,0.512615641706994
B,scale,0.25,2252,causal_residual,0.0,1.0,0.03427813685766683,0.9024705944605489,0.15746451847591458,0.18580027654877188
B,scale,0.25,2252,total_flow,0.0,1.0,0.0320667420311487,0.904681989287067,0.15746451847591458,0.027738646017934018
B,scale,0.25,2252,oracle_effect,1.0,0.0,0.9367487313182158,0.0,0.15746451847591458,0.513134281440116
B,scale,0.5,2255,causal_residual,0.04357142857142857,0.9564285714285714,0.0863630607332151,0.8502528069742055,0.1567561358177071,0.3081261270895935
B,scale,0.5,2255,total_flow,0.0,1.0,0.030122057367302356,0.9064938103401182,0.1567561358177071,0.027865510183883176
B,scale,0.5,2255,oracle_effect,1.0,0.0,0.9366158677074207,0.0,0.1567561358177071,0.5117877913393408
B,scale,0.75,2257,causal_residual,0.9478571428571428,0.052142857142857144,0.877611659648061,0.05402333667969178,0.1555467649267623,0.4316899476241839
B,scale,0.75,2257,total_flow,0.0,1.0,0.03336093136558806,0.8982740649621646,0.1555467649267623,0.02786115408517927
B,scale,0.75,2257,oracle_effect,1.0,0.0,0.9316349963277527,0.0,0.1555467649267623,0.5128045654994725
B,scale,1.0,2260,causal_residual,1.0,0.0,0.9135703672600924,0.01626903835903134,0.15392362729940268,0.5565166005756698
B,scale,1.0,2260,total_flow,0.0,1.0,0.03696324579728888,0.8928761598218349,0.15392362729940268,0.02784937183580437
B,scale,1.0,2260,oracle_effect,1.0,0.0,0.9298394056191237,0.0,0.15392362729940268,0.513795445741229
B,scale,1.25,2262,causal_residual,1.0,0.0,0.9184962677077451,0.014906888783366955,0.152372494051532,0.6799299517589332
B,scale,1.25,2262,total_flow,0.0,1.0,0.03709062097437883,0.8963125355167332,0.152372494051532,0.027866888974181832
B,scale,1.25,2262,oracle_effect,1.0,0.0,0.9334031564911119,0.0,0.152372494051532,0.5127068069432742
B,scale,1.5,2265,causal_residual,1.0,0.0,0.9179784265119796,0.01820139781346552,0.15791925087851746,0.8059165177117169
B,scale,1.5,2265,total_flow,0.0,1.0,0.03407365080788715,0.9021061735175581,0.15791925087851746,0.02799780624563454
B,scale,1.5,2265,oracle_effect,1.0,0.0,0.9361798243254452,0.0,0.15791925087851746,0.5136053834470594
B,leak,0.0,2750,causal_residual,1.0,0.0,0.915283907464731,0.015101105511128848,0.15269242681611275,0.5552352174312088
B,leak,0.0,2750,total_flow,0.0,1.0,0.03334239157928907,0.8970426213965708,0.15269242681611275,0.027843587705314178
B,leak,0.0,2750,oracle_effect,1.0,0.0,0.9303850129758598,0.0,0.15269242681611275,0.5119608260629166
B,leak,0.1,2760,causal_residual,1.0,0.0,0.9165879982995173,0.0213458599434244,0.15744935011396755,0.5558349192845635
B,leak,0.1,2760,total_flow,0.0,1.0,0.031847759077903486,0.9060860991650384,0.15744935011396755,0.027895841818302732
B,leak,0.1,2760,oracle_effect,1.0,0.0,0.9379338582429418,0.0,0.15744935011396755,0.5115970585513162
B,leak,0.25,2775,causal_residual,1.0,0.0,0.9056815957563061,0.024354777875008976,0.15176351361809517,0.5622927817192953
B,leak,0.25,2775,total_flow,0.0,1.0,0.03368483967304672,0.8963515339582684,0.15176351361809517,0.02790946675446252
B,leak,0.25,2775,oracle_effect,1.0,0.0,0.9300363736313151,0.0,0.15176351361809517,0.5122336826628546
B,leak,0.5,2800,causal_residual,0.9942857142857143,0.0007142857142857143,0.8952202126629212,0.039450023335939284,0.15682977506164614,0.5764799771855244
B,leak,0.5,2800,total_flow,0.0,1.0,0.03383690974078703,0.9008333262580734,0.15682977506164614,0.027993850450591995
B,leak,0.5,2800,oracle_effect,1.0,0.0,0.9346702359988605,0.0,0.15682977506164614,0.512615641706994
